bloco;uap;code;ual;Floresta/interface;linha;declividade;formiga;samam;herb;cipo;arbus;arvor;serap;abdoss;drh;dafl;alt;lats;lonw
3;8;E_CAR1;15;f;61sb;3.916666667;0;1.083333333;16.33333333;4.583333333;4.583333333;5.166666667;2.583333333;23.70666667;103.11125;586.21;94.625;-30.9367125;-53.0196
1;3;E_FSI;5;f;61sf;12.91666667;10.33333333;3.833333333;22.58333333;11.5;12.75;8.166666667;3.75;11.40;23.32;27.38;127.50;-29.62756063;-55.14411775
2;6;E_CSR;11;f;61sl;5.083333333;8;0.666666667;26.25;0.833333333;14.58333333;9.333333333;1.183333333;15.30;63.24;69.04;265.50;-30.7233115;-55.51310825
2;4;E_CAL;7;f;61t;17.83333333;1;3;36.25;0;19.41666667;12.33333333;2.166666667;11.01;19.03;16.08;877.75;-29.01318738;-50.3938535
1;1;E_FAR;2;f;62a;4.333333333;0;1.416666667;18.16666667;1.25;35.58333333;15.58333333;3.041666667;18.92;53.10;58.83;973.75;-29.1651595;-50.05083113
2;5;E_CAR2;10;f;62e;11.66666667;2.333333333;1;25.75;0;0;17.16666667;1.916666667;10.90;98.94;108.63;390.75;-30.56399775;-52.55682263
1;2;E_CAR3;4;f;62h;9.666666667;0;0;44.75;1.666666667;21.58333333;23.33333333;2.958333333;10.99666667;131.65875;17.19375;248.375;-32.09346688;-53.61861775
3;7;E_FTR_FAR;14;f;62p;13.08333333;0;3.583333333;56.58333333;3.083333333;5.25;20.5;6.541666667;11.51666667;78.505;29.07;921.375;-29.4788625;-50.2078375
3;9;E_CCB;18;f;62sam;4.583333333;1.333333333;0;23.08333333;2.083333333;3;1;1.916666667;12.07333333;921.4925;60.11;129.875;-28.531775;-55.4189
3;8;E_CAR1;16;f;62sb;4.583333333;0;1;26.25;0;18.91666667;7.416666667;1.358333333;19.00;87.25;61.65;89.00;-30.92425;-53.0289
1;3;E_FSI;6;f;62sf;6.666666667;4.333333333;0;25.5;13;3.75;3.416666667;0.708333333;8.93;150.06;482.20;116.88;-29.628468;-55.131407
2;6;E_CSR;12;f;62sl;5.5;7.333333333;0.75;36.5;0;11.08333333;10.08333333;2.083333333;25.34;121.37;64.59;307.63;-30.71610738;-55.510296
2;4;E_CAL;8;f;62t;10.16666667;0;8.416666667;22.58333333;1.916666667;4.5;37.5;1.75;11.03;9.09;32.78;761.50;-29.019595;-50.39707913
1;1;E_FAR;1;f;71a;7.5;0;6;38.25;7.083333333;11.5;32.33333333;7.166666667;14.85333333;38.42625;47.94875;999.875;-29.16413588;-50.06423138
2;5;E_CAR2;9;f;71e;16.66666667;2.666666667;1.333333333;28.5;0;0;0.25;1.75;10.44666667;18.7525;21.33;400.625;-30.55632663;-52.56752463
1;2;E_CAR3;3;f;71h;12.33333333;0.333333333;0.833333333;61.08333333;0;31.25;5.75;2.458333333;18.44;75.3675;15.81;239.875;-32.093252;-53.624889
3;7;E_FTR_FAR;13;f;71p;2.5;1;2.25;34;14.08333333;8.666666667;19.5;5.258333333;27.01;25.04;297.55;927.13;-29.486575;-50.202725
3;9;E_CCB;17;f;71sam;10;0;0;16.66666667;3.416666667;2.083333333;9.666666667;1.791666667;11.29;530.86;23.10;120.25;-28.5295125;-55.429225
3;8;E_CAR1;15;f;71sb;5.25;0;0;22.75;3.75;12.58333333;9.25;3.333333333;11.98;106.56;583.78;95.13;-30.93655;-53.01955
1;3;E_FSI;5;f;71sf;6.666666667;6.666666667;1.25;25.25;5.833333333;24.91666667;11.25;3.166666667;10.28;27.84;21.67;128.25;-29.627396;-55.14412188
2;6;E_CSR;11;f;71sl;4.833333333;4.333333333;0;30.66666667;0;16.08333333;3.833333333;2.225;11.70;64.63;53.72;266.63;-30.72349425;-55.51306113
2;4;E_CAL;7;f;71t;22;1.333333333;16.33333333;42.91666667;0;2.416666667;13.08333333;2.291666667;20.74666667;5.68375;19.7525;877.875;-29.0130015;-50.3938075
1;1;E_FAR;2;f;72a;5.083333333;0;3.333333333;25.85;0;6.791666667;14.66666667;2.291666667;15.48333333;66.27875;75.88;974.625;-29.1652715;-50.0509905
2;5;E_CAR2;10;f;72e;11.75;2.333333333;1.916666667;20.08333333;10.08333333;0.5;14;1.725;9.253333333;84.47625;96.33;390.25;-30.56386313;-52.55668513
1;2;E_CAR3;4;f;72h;8.083333333;0;3.916666667;38;3.833333333;24.41666667;21.5;3.041666667;12.19;140.48;28.99;247.00;-32.09358938;-53.61875288
3;7;E_FTR_FAR;14;f;72p;22.25;0;3.25;43.83333333;4.166666667;16.91666667;35.16666667;7.208333333;10.28;97.56375;12.835;915.75;-29.478675;-50.2078875
3;9;E_CCB;18;f;72sam;5.833333333;0;0;19.25;13.25;4.916666667;7.666666667;2.041666667;12.33666667;926.34375;42.25125;132.5;-28.53195;-55.4189
3;8;E_CAR1;16;f;72sb;9.75;0.333333333;0;25.83333333;0;4.166666667;8.083333333;1.775;10.58666667;86.58;45.05875;89.625;-30.92405;-53.0289125
1;3;E_FSI;6;f;72sf;4.166666667;6.333333333;0;19.91666667;13;2.75;6;0.833333333;27.24;152.66375;463.575;117.625;-29.62833713;-55.13154475
